name,points,archived,creation_date
BE BETTER THAN GOOD,10,FALSE,17-10-2025
Read Goals,10,FALSE,17-10-2025
Drink Water,5,FALSE,17-10-2025
Push-ups,4,FALSE,17-10-2025
Dance,3,False,17-10-2025
Meditation,7,FALSE,17-10-2025
Book Reading,10,FALSE,17-10-2025
Brain Game,4,FALSE,17-10-2025
YouTube Video Topic,5,FALSE,17-10-2025
YouTube Script,5,FALSE,17-10-2025
YouTube Video Assets,5,FALSE,17-10-2025
YouTube Talking Avatar Video,5,FALSE,17-10-2025
Influencer Post Prepare,7,FALSE,17-10-2025
Influencer Posting,7,FALSE,17-10-2025
Influncai.com Planning,5,FALSE,17-10-2025
Charisma University,8,FALSE,17-10-2025
Vocal Exercise,7,FALSE,17-10-2025
Tongue Twister,5,FALSE,17-10-2025
Accent Reading,5,FALSE,17-10-2025
Camera Talking,7,FALSE,17-10-2025
Discord English Practice,6,FALSE,17-10-2025
Winner Podcast,8,FALSE,17-10-2025
Psychology or Sales & Negotiation,8,FALSE,17-10-2025
General News,2,FALSE,17-10-2025
AI News,5,FALSE,17-10-2025
Evening Exercise,7,FALSE,17-10-2025
Journal: Wins & Lessons,9,FALSE,17-10-2025
Stretching Before Sleep,2,FALSE,17-10-2025
